,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"7,200"
,1) Depoziti,61
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"7,025"
,4) Hartije od vrijednosti koje se drze do dospijeca,17
,5) Ostali prihodi od kamata,97
RA 1.,Rashodi kamata,"2,656"
,1) Depoziti,"2,296"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,77
,5) Subordinisani dugovi I hibridni instrumenti,
,6) Ostali rashodi po kamatama,283
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"4,544"
II.,Troskovi za gubitke po stavkama aktive,"1,679"
III.,NETO PRIHODI / RASHODI (I-II),"2,865"
PR 2.,Prihodi od naknada,"3,821"
,1) Naknade po kreditima,148
,2) Naknade po vanbilansnim poslovima,73
,3) Naknade za izvrsene usluge,"1,196"
,4) Ostale naknade,"2,405"
RA 2.,Rashodi od naknada,514
,1) Naknade po kreditima,10
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,190
,4) Ostale naknade,315
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"3,307"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"6,173"
PR 3.,Ostali prihodi,208
,1) Prihodi iz poslovanja sa devizama (neto),49
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),15
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),-220
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,364
RA 3.,Opsti i ostali troskovi,"5,828"
,1) Troskovi plata,"2,997"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,236"
,3) Ostali troskovi,"1,594"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),553
PR 4.,Vanredni prihodi,3
RA 4.,Vanredni rashodi,11
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-8
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),545
RA 5.,Porezi i doprinosi iz dobitka,61
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),484
