POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"5,883"
2. Rashodi od kamata i slicni rashodi,"2,715"
3. NETO PRIHODI OD KAMATA (1- 2),"3,168"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"1,102"
6. Troskovi rezervisanja,-5
7. Prihodi od naknada i provizija,"9,645"
8. Rahodi naknada i provizija,"4,426"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"5,220"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,756
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-347
15. Troskovi zaposlenih,"2,967"
16. Opsti i administrativni troskovi,"3,213"
17. Troskovi amortizacije,414
18. Ostali rashodi,646
19. Ostali prihodi,88
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),549
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),549
