POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"5,974"
2. Rashodi od kamata i slicni rashodi,"2,881"
3. NETO PRIHODI OD KAMATA (1- 2),"3,093"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,511
6. Troskovi rezervisanja,2
7. Prihodi od naknada i provizija,"4,013"
8. Rahodi naknada i provizija,"1,732"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,281"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,327
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-48
15. Troskovi zaposlenih,"2,154"
16. Opsti i administrativni troskovi,"2,323"
17. Troskovi amortizacije,315
18. Ostali rashodi,87
19. Ostali prihodi,73
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),334
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),334
