,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"4,590"
,1) Depoziti,216
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"4,333"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,41
RA 1.,Rashodi kamata,"1,191"
,1) Depoziti,"1,024"
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,24
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,143
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"3,399"
II.,Troskovi za gubitke,"1,528"
III.,NETO PRIHODI / RASHODI (I-II),"1,871"
PR 2.,Prihodi od naknada,"1,801"
,1) Naknade po kreditima,251
,2) Naknade po vanbilansnim poslovima,57
,3) Naknade za izvrsene usluge,"1,111"
,4) Ostale naknade,382
RA 2.,Rashodi od naknada,325
,1) Naknade po kreditima,4
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,132
,4) Ostale naknade,189
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,476"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"3,347"
PR 3.,Ostali prihodi,624
,1) Prihodi iz poslovanja sa devizama (neto),47
,2) Prihodi iz kursnih razlika ( revalorizacija ),-86
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,333
,4) Ostali prihodi,330
RA 3.,Opsti troskovi,"3,667"
,1) Troskovi plata i doprinosa,"1,965"
,2) Troskovi poslovnog prostora i fiksne aktive,622
,3)Ostali troskovi,"1,080"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),305
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,1
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-1
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),304
RA 5.,Porezi i doprinosi iz dobitka,81
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),223
