POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"4,297"
2. Rashodi od kamata i slicni rashodi,"1,900"
3. NETO PRIHODI OD KAMATA (1- 2),"2,397"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,739
6. Troskovi rezervisanja,-7
7. Prihodi od naknada i provizija,"5,791"
8. Rahodi naknada i provizija,"2,666"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"3,125"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,535
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-289
15. Troskovi zaposlenih,"1,972"
16. Opsti i administrativni troskovi,"2,103"
17. Troskovi amortizacije,276
18. Ostali rashodi,574
19. Ostali prihodi,51
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),161
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),161
