POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"8,710"
2. Rashodi od kamata i slicni rashodi,"4,096"
3. NETO PRIHODI OD KAMATA (1- 2),"4,614"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,399
6. Troskovi rezervisanja,27
7. Prihodi od naknada i provizija,"4,741"
8. Rahodi naknada i provizija,"1,903"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,839"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,145
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,25
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,159
15. Troskovi zaposlenih,"3,292"
16. Opsti i administrativni troskovi,"3,315"
17. Troskovi amortizacije,600
18. Ostali rashodi,110
19. Ostali prihodi,112
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),151
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),151
