POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"7,288"
2. Rashodi od kamata i slicni rashodi,"3,621"
3. NETO PRIHODI OD KAMATA (1- 2),"3,667"
4. Prihodi od dividendi,9
5. Troskovi obezvrjedjenja,"2,275"
6. Troskovi rezervisanja,44
7. Prihodi od naknada i provizija,"14,755"
8. Rahodi naknada i provizija,"6,831"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"7,924"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,"1,058"
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-375
15. Troskovi zaposlenih,"4,107"
16. Opsti i administrativni troskovi,"4,383"
17. Troskovi amortizacije,490
18. Ostali rashodi,790
19. Ostali prihodi,119
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),313
21. Porez na prihod,3
22. NETO PROFIT/GUBITAK (20 - 21),310
