POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"8,981"
2. Rashodi od kamata i slicni rashodi,"5,039"
3. NETO PRIHODI OD KAMATA (1- 2),"3,942"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,871
6. Troskovi rezervisanja,472
7. Prihodi od naknada i provizija,"10,396"
8. Rahodi naknada i provizija,"4,658"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"5,738"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,947
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-229
15. Troskovi zaposlenih,"4,092"
16. Opsti i administrativni troskovi,"4,067"
17. Troskovi amortizacije,544
18. Ostali rashodi,550
19. Ostali prihodi,314
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),116
21. Porez na prihod,-5
22. NETO PROFIT/GUBITAK (20 - 21),121
