,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"3,621"
,1) Depoziti,162
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"3,397"
,4) Hartije od vrijednosti koje se drze do dospijeca,42
,5) Ostali prihodi od kamata,19
RA 1.,Rashodi kamata,778
,1) Depoziti,525
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,252
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"2,843"
II.,Troskovi za gubitke,595
III.,NETO PRIHODI / RASHODI (I-II),"2,248"
PR 2.,Prihodi od naknada,"2,391"
,1) Naknade po kreditima,300
,2) Naknade po vanbilansnim poslovima,72
,3) Naknade za izvrsene usluge,"1,390"
,4) Ostale naknade,628
RA 2.,Rashodi od naknada,521
,1) Naknade po kreditima,3
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,277
,4) Ostale naknade,241
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,870"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"4,118"
PR 3.,Ostali prihodi,698
,1) Prihodi iz poslovanja sa devizama (neto),78
,2) Prihodi iz kursnih razlika ( revalorizacija ),250
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,23
,4) Ostali prihodi,348
RA 3.,Opsti troskovi,"3,782"
,1) Troskovi plata i doprinosa,"2,122"
,2) Troskovi poslovnog prostora i fiksne aktive,768
,3)Ostali troskovi,892
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),"1,033"
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,3
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-3
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),"1,031"
RA 5.,Porezi i doprinosi iz dobitka,98
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),933
