POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"5,313"
2. Rashodi od kamata i slicni rashodi,"2,606"
3. NETO PRIHODI OD KAMATA (1- 2),"2,707"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,62
6. Troskovi rezervisanja,14
7. Prihodi od naknada i provizija,"2,128"
8. Rahodi naknada i provizija,926
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,201"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,63
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,11
15. Troskovi zaposlenih,"2,112"
16. Opsti i administrativni troskovi,"1,934"
17. Troskovi amortizacije,342
18. Ostali rashodi,79
19. Ostali prihodi,87
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-473
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-473
