POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"6,874"
2. Rashodi od kamata i slicni rashodi,"3,121"
3. NETO PRIHODI OD KAMATA (1- 2),"3,752"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"-1,661"
6. Troskovi rezervisanja,"-1,118"
7. Prihodi od naknada i provizija,"1,705"
8. Rahodi naknada i provizija,"1,032"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),673
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,106
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-1
15. Troskovi zaposlenih,"1,748"
16. Opsti i administrativni troskovi,971
17. Troskovi amortizacije,259
18. Ostali rashodi,52
19. Ostali prihodi,101
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"4,381"
21. Porez na prihod,-2
22. NETO PROFIT/GUBITAK (20 - 21),"4,383"
