,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"8,215"
,1) Depoziti,70
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,212
,3) Krediti i poslovi lizinga,"7,530"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,403
RA 1.,Rashodi kamata,"4,673"
,1) Depoziti,"2,946"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,"1,380"
,5) Subordinisani dugovi I hibridni instrumenti,95
,6) Ostali rashodi po kamatama,253
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"3,542"
II.,Troskovi za gubitke po stavkama aktive,"1,645"
III.,NETO PRIHODI / RASHODI (I-II),"1,897"
PR 2.,Prihodi od naknada,"1,844"
,1) Naknade po kreditima,562
,2) Naknade po vanbilansnim poslovima,179
,3) Naknade za izvrsene usluge,"1,080"
,4) Ostale naknade,23
RA 2.,Rashodi od naknada,584
,1) Naknade po kreditima,47
,2) Naknade po vanbilansnim poslovima,29
,3) Naknade za izvrsene usluge,123
,4) Ostale naknade,385
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,260"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"3,156"
PR 3.,Ostali prihodi,4
,1) Prihodi iz poslovanja sa devizama (neto),53
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-542
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",356
,5) Neto gubici/dobici od kastodi poslova,-1
,6) Ostali prihodi,138
RA 3.,Opsti i ostali troskovi,"2,941"
,1) Troskovi plata,"1,493"
,2) Troskovi poslovnog prostora i fiksne aktive,973
,3) Ostali troskovi,474
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),220
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),220
RA 5.,Porezi i doprinosi iz dobitka,62
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),158
