POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"29,763"
2. Prihodi od kamata na obezvrijedene plasmane,163
3. Rashodi od kamata i slicni rashodi,746
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"29,180"
4. Prihodi od naknada i provizija,"17,071"
5. Rashodi naknada i provizija,"12,162"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"4,910"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,869
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-68
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),-1
10. Neto gubici/dobici od kursnih razlika,-43
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,602
12. Ostali prihodi,873
13. Troskovi zaposlenih,"7,934"
14. Troskovi amortizacije,"1,712"
15. Opsti i administrativni troskovi,"5,166"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"-1,688"
18. Troskovi rezervisanja,240
19. Ostali rashodi,108
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"22,850"
21. Porez na dobit,"3,488"
22. NETO PROFIT/GUBITAK (III - 21),"19,362"
