POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"23,130"
2. Prihodi od kamata na obezvrijedene plasmane,256
3. Rashodi od kamata i slicni rashodi,"1,271"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"22,115"
4. Prihodi od naknada i provizija,"12,550"
5. Rashodi naknada i provizija,"8,924"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"3,626"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,584
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",801
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,29
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,864
12. Ostali prihodi,"1,209"
13. Troskovi zaposlenih,"9,892"
14. Troskovi amortizacije,"1,813"
15. Opsti i administrativni troskovi,"5,985"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"1,107"
18. Troskovi rezervisanja,-953
19. Ostali rashodi,63
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"11,321"
21. Porez na dobit,425
22. NETO PROFIT/GUBITAK (III - 21),"10,896"
