POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"35,227"
2. Prihodi od kamata na obezvrijedene plasmane,105
3. Rashodi od kamata i slicni rashodi,741
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"34,591"
4. Prihodi od naknada i provizija,"18,104"
5. Rashodi naknada i provizija,"12,904"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"5,200"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,696
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-302
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),114
10. Neto gubici/dobici od kursnih razlika,-1
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,666
12. Ostali prihodi,969
13. Troskovi zaposlenih,"9,221"
14. Troskovi amortizacije,"2,212"
15. Opsti i administrativni troskovi,"6,358"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"-2,414"
18. Troskovi rezervisanja,610
19. Ostali rashodi,93
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"25,853"
21. Porez na dobit,"3,796"
22. NETO PROFIT/GUBITAK (III - 21),"22,057"
