,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"16,831"
,1) Depoziti,128
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,226
,3) Krediti i poslovi lizinga,"15,565"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,911
RA 1.,Rashodi kamata,"9,046"
,1) Depoziti,"5,820"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,"2,378"
,5) Subordinisani dugovi I hibridni instrumenti,199
,6) Ostali rashodi po kamatama,648
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"7,785"
II.,Troskovi za gubitke po stavkama aktive,"4,239"
III.,NETO PRIHODI / RASHODI (I-II),"3,546"
PR 2.,Prihodi od naknada,"4,015"
,1) Naknade po kreditima,"1,198"
,2) Naknade po vanbilansnim poslovima,387
,3) Naknade za izvrsene usluge,"2,378"
,4) Ostale naknade,52
RA 2.,Rashodi od naknada,"1,165"
,1) Naknade po kreditima,122
,2) Naknade po vanbilansnim poslovima,67
,3) Naknade za izvrsene usluge,263
,4) Ostale naknade,714
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"2,850"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"6,396"
PR 3.,Ostali prihodi,210
,1) Prihodi iz poslovanja sa devizama (neto),150
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-305
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",177
,5) Neto gubici/dobici od kastodi poslova,1
,6) Ostali prihodi,187
RA 3.,Opsti i ostali troskovi,"6,004"
,1) Troskovi plata,"3,024"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,938"
,3) Ostali troskovi,"1,043"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),601
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),601
RA 5.,Porezi i doprinosi iz dobitka,50
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),551
