POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"15,085"
2. Rashodi od kamata i slicni rashodi,"2,285"
3. NETO PRIHODI OD KAMATA (1- 2),"12,800"
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,"2,994"
6. Troskovi rezervisanja,72
7. Prihodi od naknada i provizija,"7,040"
8. Rahodi naknada i provizija,"4,215"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,825"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,410
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,402
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,2
15. Troskovi zaposlenih,"5,490"
16. Opsti i administrativni troskovi,"3,085"
17. Troskovi amortizacije,634
18. Ostali rashodi,80
19. Ostali prihodi,688
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"4,774"
21. Porez na prihod,9
22. NETO PROFIT/GUBITAK (20 - 21),"4,765"
