POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"16,656"
2. Rashodi od kamata i slicni rashodi,"5,848"
3. NETO PRIHODI OD KAMATA (1- 2),"10,807"
4. Prihodi od dividendi,2
5. Troskovi obezvrjedjenja,"3,613"
6. Troskovi rezervisanja,37
7. Prihodi od naknada i provizija,"6,064"
8. Rahodi naknada i provizija,"3,645"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,419"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,523
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,7
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-106
15. Troskovi zaposlenih,"5,625"
16. Opsti i administrativni troskovi,"3,000"
17. Troskovi amortizacije,762
18. Ostali rashodi,58
19. Ostali prihodi,594
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"1,150"
21. Porez na prihod,10
22. NETO PROFIT/GUBITAK (20 - 21),"1,140"
