POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"11,100"
2. Rashodi od kamata i slicni rashodi,"4,195"
3. NETO PRIHODI OD KAMATA (1- 2),"6,905"
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,"2,311"
6. Troskovi rezervisanja,-78
7. Prihodi od naknada i provizija,"3,738"
8. Rahodi naknada i provizija,"2,204"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,535"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,318
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-97
15. Troskovi zaposlenih,"3,777"
16. Opsti i administrativni troskovi,"1,977"
17. Troskovi amortizacije,503
18. Ostali rashodi,37
19. Ostali prihodi,334
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),468
21. Porez na prihod,7
22. NETO PROFIT/GUBITAK (20 - 21),461
