,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"5,051"
,1) Depoziti,51
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"4,807"
,4) Hartije od vrijednosti koje se drze do dospijeca,188
,5) Ostali prihodi od kamata,6
RA 1.,Rashodi kamata,"1,563"
,1) Depoziti,537
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,994
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,31
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"3,489"
II.,Troskovi za gubitke,987
III.,NETO PRIHODI / RASHODI (I-II),"2,501"
PR 2.,Prihodi od naknada,"2,087"
,1) Naknade po kreditima,537
,2) Naknade po vanbilansnim poslovima,122
,3) Naknade za izvrsene usluge,"1,424"
,4) Ostale naknade,3
RA 2.,Rashodi od naknada,445
,1) Naknade po kreditima,12
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,199
,4) Ostale naknade,234
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,641"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"4,142"
PR 3.,Ostali prihodi,767
,1) Prihodi iz poslovanja sa devizama (neto),62
,2) Prihodi iz kursnih razlika ( revalorizacija ),9
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,2
,4) Ostali prihodi,695
RA 3.,Opsti troskovi,"4,869"
,1) Troskovi plata i doprinosa,"2,827"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,264"
,3)Ostali troskovi,778
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),41
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,0
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),0
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),40
RA 5.,Porezi i doprinosi iz dobitka,-25
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),65
