POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"30,223"
2. Rashodi od kamata i slicni rashodi,"14,570"
3. NETO PRIHODI OD KAMATA (1- 2),"15,653"
4. Prihodi od dividendi,24
5. Troskovi obezvrjedjenja,"21,642"
6. Troskovi rezervisanja,"1,313"
7. Prihodi od naknada i provizija,"8,372"
8. Rahodi naknada i provizija,"4,985"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"3,387"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,592
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,66
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),-10
14. Neto gubici/dobici od kursnih razlika,5
15. Troskovi zaposlenih,"7,286"
16. Opsti i administrativni troskovi,"4,373"
17. Troskovi amortizacije,"1,153"
18. Ostali rashodi,148
19. Ostali prihodi,461
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"-15,738"
21. Porez na prihod,-3
22. NETO PROFIT/GUBITAK (20 - 21),"-15,735"
