POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"12,720"
2. Rashodi od kamata i slicni rashodi,"5,940"
3. NETO PRIHODI OD KAMATA (1- 2),"6,780"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"-1,303"
6. Troskovi rezervisanja,-776
7. Prihodi od naknada i provizija,"3,778"
8. Rahodi naknada i provizija,"2,235"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,543"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,261
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-1
15. Troskovi zaposlenih,"3,490"
16. Opsti i administrativni troskovi,"2,161"
17. Troskovi amortizacije,511
18. Ostali rashodi,73
19. Ostali prihodi,199
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"4,624"
21. Porez na prihod,-2
22. NETO PROFIT/GUBITAK (20 - 21),"4,626"
