POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"5,501"
2. Rashodi od kamata i slicni rashodi,"2,230"
3. NETO PRIHODI OD KAMATA (1- 2),"3,271"
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,"1,513"
6. Troskovi rezervisanja,43
7. Prihodi od naknada i provizija,"1,750"
8. Rahodi naknada i provizija,"1,045"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),705
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,158
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-96
15. Troskovi zaposlenih,"1,833"
16. Opsti i administrativni troskovi,"1,037"
17. Troskovi amortizacije,234
18. Ostali rashodi,20
19. Ostali prihodi,117
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-526
21. Porez na prihod,-1
22. NETO PROFIT/GUBITAK (20 - 21),-525
