POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"23,326"
2. Prihodi od kamata na obezvrijedene plasmane,77
3. Rashodi od kamata i slicni rashodi,520
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"22,884"
4. Prihodi od naknada i provizija,"10,240"
5. Rashodi naknada i provizija,"7,256"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"2,985"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,456
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-184
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),83
10. Neto gubici/dobici od kursnih razlika,-1
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,52
12. Ostali prihodi,670
13. Troskovi zaposlenih,"6,016"
14. Troskovi amortizacije,"1,474"
15. Opsti i administrativni troskovi,"4,130"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"-1,826"
18. Troskovi rezervisanja,388
19. Ostali rashodi,89
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"16,673"
21. Porez na dobit,"2,369"
22. NETO PROFIT/GUBITAK (III - 21),"14,304"
