POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"23,970"
2. Rashodi od kamata i slicni rashodi,"11,115"
3. NETO PRIHODI OD KAMATA (1- 2),"12,855"
4. Prihodi od dividendi,2
5. Troskovi obezvrjedjenja,"1,275"
6. Troskovi rezervisanja,"-1,777"
7. Prihodi od naknada i provizija,"8,656"
8. Rahodi naknada i provizija,"5,022"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"3,634"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,575
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,3
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-64
15. Troskovi zaposlenih,"7,114"
16. Opsti i administrativni troskovi,"4,430"
17. Troskovi amortizacije,989
18. Ostali rashodi,157
19. Ostali prihodi,669
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"5,487"
21. Porez na prihod,11
22. NETO PROFIT/GUBITAK (20 - 21),"5,476"
