POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"10,538"
2. Prihodi od kamata na obezvrijedene plasmane,160
3. Rashodi od kamata i slicni rashodi,655
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"10,043"
4. Prihodi od naknada i provizija,"5,145"
5. Rashodi naknada i provizija,"3,320"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"1,825"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,281
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",133
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,-1
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,246
12. Ostali prihodi,388
13. Troskovi zaposlenih,"3,723"
14. Troskovi amortizacije,432
15. Opsti i administrativni troskovi,"2,359"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,583
18. Troskovi rezervisanja,
19. Ostali rashodi,45
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"5,773"
21. Porez na dobit,545
22. NETO PROFIT/GUBITAK (III - 21),"5,228"
