POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"26,177"
2. Rashodi od kamata i slicni rashodi,"11,046"
3. NETO PRIHODI OD KAMATA (1- 2),"15,132"
4. Prihodi od dividendi,24
5. Troskovi obezvrjedjenja,305
6. Troskovi rezervisanja,-326
7. Prihodi od naknada i provizija,"6,393"
8. Rahodi naknada i provizija,"3,896"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,498"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,434
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,80
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),-10
14. Neto gubici/dobici od kursnih razlika,-3
15. Troskovi zaposlenih,"5,437"
16. Opsti i administrativni troskovi,"3,235"
17. Troskovi amortizacije,895
18. Ostali rashodi,83
19. Ostali prihodi,271
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"8,795"
21. Porez na prihod,-19
22. NETO PROFIT/GUBITAK (20 - 21),"8,814"
