,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,774
,1) Depoziti,21
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,752
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,0
RA 1.,Rashodi kamata,160
,1) Depoziti,110
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,50
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),613
II.,Troskovi za gubitke,98
III.,NETO PRIHODI / RASHODI (I-II),516
PR 2.,Prihodi od naknada,309
,1) Naknade po kreditima,15
,2) Naknade po vanbilansnim poslovima,55
,3) Naknade za izvrsene usluge,228
,4) Ostale naknade,11
RA 2.,Rashodi od naknada,54
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,54
,4) Ostale naknade,0
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),255
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),770
PR 3.,Ostali prihodi,13
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Prihodi iz kursnih razlika ( revalorizacija ),3
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,-1
,4) Ostali prihodi,11
RA 3.,Opsti troskovi,699
,1) Troskovi plata i doprinosa,416
,2) Troskovi poslovnog prostora i fiksne aktive,116
,3)Ostali troskovi,167
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),84
PR 4.,Vanredni prihodi,1
RA 4.,Vanredni rashodi,1
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),0
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),84
RA 5.,Porezi i doprinosi iz dobitka,8
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),76
