,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"19,424"
,1) Depoziti,81
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"18,860"
,4) Hartije od vrijednosti koje se drze do dospijeca,16
,5) Ostali prihodi od kamata,467
RA 1.,Rashodi kamata,"11,287"
,1) Depoziti,"7,431"
,2) HoV prodate uz obavezu ponovnog otkupa,1
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,"2,665"
,5) Subordinisani dugovi I hibridni instrumenti,169
,6) Ostali rashodi po kamatama,"1,021"
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"8,137"
II.,Troskovi za gubitke po stavkama aktive,"13,265"
III.,NETO PRIHODI / RASHODI (I-II),"-5,129"
PR 2.,Prihodi od naknada,"4,191"
,1) Naknade po kreditima,758
,2) Naknade po vanbilansnim poslovima,215
,3) Naknade za izvrsene usluge,"2,974"
,4) Ostale naknade,243
RA 2.,Rashodi od naknada,"1,510"
,1) Naknade po kreditima,4
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,562
,4) Ostale naknade,944
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"2,681"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"-2,448"
PR 3.,Ostali prihodi,-318
,1) Prihodi iz poslovanja sa devizama (neto),120
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-486
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,48
RA 3.,Opsti i ostali troskovi,"5,053"
,1) Troskovi plata,"2,739"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,200"
,3) Ostali troskovi,"1,114"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),"-7,819"
PR 4.,Vanredni prihodi,378
RA 4.,Vanredni rashodi,24
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),354
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),"-7,465"
RA 5.,Porezi i doprinosi iz dobitka,45
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),"-7,511"
