POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"65,843"
2. Prihodi od kamata na obezvrijedene plasmane,650
3. Rashodi od kamata i slicni rashodi,"1,199"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"65,294"
4. Prihodi od naknada i provizija,"36,737"
5. Rashodi naknada i provizija,"21,411"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"15,326"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,989
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,365
12. Ostali prihodi,830
13. Troskovi zaposlenih,"15,904"
14. Troskovi amortizacije,"4,702"
15. Opsti i administrativni troskovi,"8,478"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,-26
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,4
18. Troskovi rezervisanja,669
19. Ostali rashodi,264
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"52,809"
21. Porez na dobit,"7,943"
22. NETO PROFIT/GUBITAK (III - 21),"44,866"
