POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"25,328"
2. Rashodi od kamata i slicni rashodi,"3,610"
3. NETO PRIHODI OD KAMATA (1- 2),"21,718"
4. Prihodi od dividendi,13
5. Troskovi obezvrjedjenja,"8,244"
6. Troskovi rezervisanja,-388
7. Prihodi od naknada i provizija,"15,536"
8. Rahodi naknada i provizija,"5,967"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"9,568"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,394
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,-70
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,742
15. Troskovi zaposlenih,"12,465"
16. Opsti i administrativni troskovi,"6,983"
17. Troskovi amortizacije,"3,004"
18. Ostali rashodi,571
19. Ostali prihodi,"5,648"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"7,136"
21. Porez na prihod,-1
22. NETO PROFIT/GUBITAK (20 - 21),"7,137"
