,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"13,048"
,1) Depoziti,72
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"12,047"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,930
RA 1.,Rashodi kamata,"7,464"
,1) Depoziti,"5,748"
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,408
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,"1,308"
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"5,585"
II.,Troskovi za gubitke,"1,060"
III.,NETO PRIHODI / RASHODI (I-II),"4,525"
PR 2.,Prihodi od naknada,"12,331"
,1) Naknade po kreditima,"1,101"
,2) Naknade po vanbilansnim poslovima,512
,3) Naknade za izvrsene usluge,"10,681"
,4) Ostale naknade,37
RA 2.,Rashodi od naknada,"3,198"
,1) Naknade po kreditima,5
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,"2,580"
,4) Ostale naknade,612
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"9,134"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"13,658"
PR 3.,Ostali prihodi,-181
,1) Prihodi iz poslovanja sa devizama (neto),4
,2) Prihodi iz kursnih razlika ( revalorizacija ),-272
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,88
RA 3.,Opsti troskovi,"10,568"
,1) Troskovi plata i doprinosa,"4,156"
,2) Troskovi poslovnog prostora i fiksne aktive,"2,882"
,3)Ostali troskovi,"3,530"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),"2,910"
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,11
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-11
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),"2,899"
RA 5.,Porezi i doprinosi iz dobitka,281
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),"2,618"
