POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"16,076"
2. Rashodi od kamata i slicni rashodi,"4,955"
3. NETO PRIHODI OD KAMATA (1- 2),"11,121"
4. Prihodi od dividendi,5
5. Troskovi obezvrjedjenja,"4,194"
6. Troskovi rezervisanja,-175
7. Prihodi od naknada i provizija,"8,575"
8. Rahodi naknada i provizija,"2,763"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"5,812"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,-62
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,325
15. Troskovi zaposlenih,"6,991"
16. Opsti i administrativni troskovi,"3,373"
17. Troskovi amortizacije,"1,389"
18. Ostali rashodi,91
19. Ostali prihodi,655
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"1,991"
21. Porez na prihod,-36
22. NETO PROFIT/GUBITAK (20 - 21),"2,026"
