Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"18,680"
2. Krediti i potrazivanja od banaka,"33,376"
3. Krediti i potrazivanja od klijenata,"121,065"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"9,887"
8.a. - raspolozive za prodaju,370
8.b. - koje se drze do dospijeca,"9,516"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,8
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,506"
13. Nematerijalna sredstva,756
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,10
16. Ostala finansijska potrazivanja,358
17. Ostala poslovna potrazivanja,"1,107"
18. UKUPNA SREDSTVA:,"186,754"
Obaveze,IZNOS
19. Depoziti banaka,845
20. Depoziti klijenata,"131,589"
21. Pozajmljena sredstva od banaka,"17,598"
22. Pozajmljena sredstva od ostalih klijenata,"6,133"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"1,005"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"2,956"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"160,126"
Kapital,IZNOS
33. Akcijski kapital,"16,006"
34. Emisione premije,"7,444"
35. Nerasporedjena dobit,"1,311"
36. Dobit/gubitak tekuce godine,144
37. Ostale rezerve,"1,724"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"26,628"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"186,754"
