Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"7,370"
2. Krediti i potrazivanja od banaka,"11,823"
3. Krediti i potrazivanja od klijenata,"39,227"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"2,050"
8.a. - raspolozive za prodaju,"2,050"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",577
13. Nematerijalna sredstva,397
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,106
17. Ostala poslovna potrazivanja,99
18. UKUPNA SREDSTVA:,"61,649"
Obaveze,IZNOS
19. Depoziti banaka,5
20. Depoziti klijenata,"46,804"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"4,814"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,16
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,18
30. Ostale obaveze,347
31. Subordinisani dug,"2,000"
32. UKUPNE OBAVEZE:,"54,005"
Kapital,IZNOS
33. Akcijski kapital,"8,500"
34. Emisione premije,
35. Nerasporedjena dobit,-864
36. Dobit/gubitak tekuce godine,8
37. Ostale rezerve,
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"7,644"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"61,649"
