POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"5,217"
2. Rashodi od kamata i slicni rashodi,"1,400"
3. NETO PRIHODI OD KAMATA (1- 2),"3,817"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"4,634"
6. Troskovi rezervisanja,115
7. Prihodi od naknada i provizija,"1,494"
8. Rahodi naknada i provizija,681
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),813
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,125
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,50
15. Troskovi zaposlenih,"2,576"
16. Opsti i administrativni troskovi,"1,881"
17. Troskovi amortizacije,280
18. Ostali rashodi,347
19. Ostali prihodi,45
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"-4,983"
21. Porez na prihod,4
22. NETO PROFIT/GUBITAK (20 - 21),"-4,987"
