,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"4,366"
,1) Depoziti,4
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"4,317"
,4) Hartije od vrijednosti koje se drze do dospijeca,13
,5) Ostali prihodi od kamata,33
RA 1.,Rashodi kamata,"1,631"
,1) Depoziti,572
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,"1,059"
,5) Subordinisani dugovi I hibridni instrumenti,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"2,735"
II.,Troskovi za gubitke po stavkama aktive,"2,978"
III.,NETO PRIHODI / RASHODI (I-II),-243
PR 2.,Prihodi od naknada,"1,427"
,1) Naknade po kreditima,310
,2) Naknade po vanbilansnim poslovima,42
,3) Naknade za izvrsene usluge,745
,4) Ostale naknade,330
RA 2.,Rashodi od naknada,223
,1) Naknade po kreditima,0
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,222
,4) Ostale naknade,
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,204"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),961
PR 3.,Ostali prihodi,"1,736"
,1) Prihodi iz poslovanja sa devizama (neto),48
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-20
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,"1,708"
RA 3.,Opsti i ostali troskovi,"3,060"
,1) Troskovi plata,"1,737"
,2) Troskovi poslovnog prostora i fiksne aktive,619
,3) Ostali troskovi,704
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),-363
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),-363
RA 5.,Porezi i doprinosi iz dobitka,153
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),-516
