POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"3,868"
2. Rashodi od kamata i slicni rashodi,795
3. NETO PRIHODI OD KAMATA (1- 2),"3,073"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"7,559"
6. Troskovi rezervisanja,"1,200"
7. Prihodi od naknada i provizija,"1,396"
8. Rahodi naknada i provizija,778
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),618
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,679
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,57
15. Troskovi zaposlenih,"2,379"
16. Opsti i administrativni troskovi,"1,797"
17. Troskovi amortizacije,236
18. Ostali rashodi,226
19. Ostali prihodi,53
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"-8,917"
21. Porez na prihod,65
22. NETO PROFIT/GUBITAK (20 - 21),"-8,982"
