POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"1,109"
2. Rashodi od kamata i slicni rashodi,121
3. NETO PRIHODI OD KAMATA (1- 2),989
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,-145
6. Troskovi rezervisanja,-70
7. Prihodi od naknada i provizija,325
8. Rahodi naknada i provizija,197
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),127
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,4
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,5
15. Troskovi zaposlenih,623
16. Opsti i administrativni troskovi,357
17. Troskovi amortizacije,67
18. Ostali rashodi,3
19. Ostali prihodi,20
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),310
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),310
