POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"6,245"
2. Rashodi od kamata i slicni rashodi,"1,573"
3. NETO PRIHODI OD KAMATA (1- 2),"4,672"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,185
6. Troskovi rezervisanja,-58
7. Prihodi od naknada i provizija,"1,660"
8. Rahodi naknada i provizija,491
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,169"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,23
15. Troskovi zaposlenih,"2,385"
16. Opsti i administrativni troskovi,"1,721"
17. Troskovi amortizacije,287
18. Ostali rashodi,20
19. Ostali prihodi,205
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"1,531"
21. Porez na prihod,176
22. NETO PROFIT/GUBITAK (20 - 21),"1,355"
