POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"20,154"
2. Rashodi od kamata i slicni rashodi,"7,211"
3. NETO PRIHODI OD KAMATA (1- 2),"12,943"
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,"1,074"
6. Troskovi rezervisanja,295
7. Prihodi od naknada i provizija,"3,169"
8. Rahodi naknada i provizija,"1,157"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,012"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,46
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,229
15. Troskovi zaposlenih,"6,219"
16. Opsti i administrativni troskovi,"3,321"
17. Troskovi amortizacije,700
18. Ostali rashodi,328
19. Ostali prihodi,"1,474"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"4,768"
21. Porez na prihod,489
22. NETO PROFIT/GUBITAK (20 - 21),"4,279"
