POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"26,503"
2. Rashodi od kamata i slicni rashodi,"9,353"
3. NETO PRIHODI OD KAMATA (1- 2),"17,151"
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,"3,156"
6. Troskovi rezervisanja,-75
7. Prihodi od naknada i provizija,"5,020"
8. Rahodi naknada i provizija,"1,614"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"3,406"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,126
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,240
15. Troskovi zaposlenih,"7,838"
16. Opsti i administrativni troskovi,"4,518"
17. Troskovi amortizacije,"1,161"
18. Ostali rashodi,362
19. Ostali prihodi,"1,996"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"5,960"
21. Porez na prihod,677
22. NETO PROFIT/GUBITAK (20 - 21),"5,283"
