POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"6,782"
2. Rashodi od kamata i slicni rashodi,"2,097"
3. NETO PRIHODI OD KAMATA (1- 2),"4,684"
4. Prihodi od dividendi,0
5. Troskovi obezvrjedjenja,"1,493"
6. Troskovi rezervisanja,-40
7. Prihodi od naknada i provizija,"1,174"
8. Rahodi naknada i provizija,431
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),744
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,110
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-7
15. Troskovi zaposlenih,"2,338"
16. Opsti i administrativni troskovi,"1,076"
17. Troskovi amortizacije,329
18. Ostali rashodi,85
19. Ostali prihodi,"1,341"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"1,593"
21. Porez na prihod,160
22. NETO PROFIT/GUBITAK (20 - 21),"1,433"
