,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"4,883"
,1) Depoziti,67
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"4,560"
,4) Hartije od vrijednosti koje se drze do dospijeca,4
,5) Ostali prihodi od kamata,253
RA 1.,Rashodi kamata,"1,728"
,1) Depoziti,779
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,887
,5) Subordinisani dugovi I hibridni instrumenti,35
,6) Ostali rashodi po kamatama,27
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"3,155"
II.,Troskovi za gubitke po stavkama aktive,898
III.,NETO PRIHODI / RASHODI (I-II),"2,257"
PR 2.,Prihodi od naknada,498
,1) Naknade po kreditima,282
,2) Naknade po vanbilansnim poslovima,2
,3) Naknade za izvrsene usluge,181
,4) Ostale naknade,32
RA 2.,Rashodi od naknada,231
,1) Naknade po kreditima,27
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,175
,4) Ostale naknade,29
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),267
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"2,524"
PR 3.,Ostali prihodi,210
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),37
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",36
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,137
RA 3.,Opsti i ostali troskovi,"2,486"
,1) Troskovi plata,"1,533"
,2) Troskovi poslovnog prostora i fiksne aktive,388
,3) Ostali troskovi,565
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),248
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),248
RA 5.,Porezi i doprinosi iz dobitka,128
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),119
