,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"17,552"
,1) Depoziti,"1,581"
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"15,409"
,4) Hartije od vrijednosti koje se drze do dospijeca,162
,5) Ostali prihodi od kamata,401
RA 1.,Rashodi kamata,"2,969"
,1) Depoziti,"2,102"
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,862
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,5
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"14,583"
II.,Troskovi za gubitke,919
III.,NETO PRIHODI / RASHODI (I-II),"13,664"
PR 2.,Prihodi od naknada,"2,404"
,1) Naknade po kreditima,"1,102"
,2) Naknade po vanbilansnim poslovima,19
,3) Naknade za izvrsene usluge,"1,168"
,4) Ostale naknade,115
RA 2.,Rashodi od naknada,"1,040"
,1) Naknade po kreditima,73
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,768
,4) Ostale naknade,199
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,364"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"15,028"
PR 3.,Ostali prihodi,743
,1) Prihodi iz poslovanja sa devizama (neto),-40
,2) Prihodi iz kursnih razlika ( revalorizacija ),243
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,540
RA 3.,Opsti troskovi,"9,293"
,1) Troskovi plata i doprinosa,"4,825"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,561"
,3)Ostali troskovi,"2,907"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),"6,478"
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),"6,478"
RA 5.,Porezi i doprinosi iz dobitka,664
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),"5,814"
