POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,402
2. Rashodi od kamata i slicni rashodi,141
3. NETO PRIHODI OD KAMATA (1- 2),261
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,-4
6. Troskovi rezervisanja,12
7. Prihodi od naknada i provizija,97
8. Rahodi naknada i provizija,39
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),58
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,2
15. Troskovi zaposlenih,270
16. Opsti i administrativni troskovi,203
17. Troskovi amortizacije,35
18. Ostali rashodi,0
19. Ostali prihodi,0
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-196
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-196
