POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"2,579"
2. Rashodi od kamata i slicni rashodi,706
3. NETO PRIHODI OD KAMATA (1- 2),"1,873"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,332
6. Troskovi rezervisanja,7
7. Prihodi od naknada i provizija,"1,111"
8. Rahodi naknada i provizija,878
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),233
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,-315
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,283
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,477
15. Troskovi zaposlenih,967
16. Opsti i administrativni troskovi,814
17. Troskovi amortizacije,203
18. Ostali rashodi,45
19. Ostali prihodi,141
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),325
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),325
