POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"2,048"
2. Rashodi od kamata i slicni rashodi,647
3. NETO PRIHODI OD KAMATA (1- 2),"1,401"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,377
6. Troskovi rezervisanja,-7
7. Prihodi od naknada i provizija,566
8. Rahodi naknada i provizija,560
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),6
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,-844
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,"1,031"
15. Troskovi zaposlenih,874
16. Opsti i administrativni troskovi,443
17. Troskovi amortizacije,184
18. Ostali rashodi,12
19. Ostali prihodi,18
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-273
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-273
