POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"2,779"
2. Rashodi od kamata i slicni rashodi,913
3. NETO PRIHODI OD KAMATA (1- 2),"1,866"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,280
6. Troskovi rezervisanja,-2
7. Prihodi od naknada i provizija,877
8. Rahodi naknada i provizija,761
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),116
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,-789
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,479
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,"1,072"
15. Troskovi zaposlenih,"1,164"
16. Opsti i administrativni troskovi,711
17. Troskovi amortizacije,248
18. Ostali rashodi,25
19. Ostali prihodi,57
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),375
21. Porez na prihod,51
22. NETO PROFIT/GUBITAK (20 - 21),324
