POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"1,698"
2. Rashodi od kamata i slicni rashodi,224
3. NETO PRIHODI OD KAMATA (1- 2),"1,473"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,-164
6. Troskovi rezervisanja,0
7. Prihodi od naknada i provizija,460
8. Rahodi naknada i provizija,181
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),279
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,10
15. Troskovi zaposlenih,"1,219"
16. Opsti i administrativni troskovi,715
17. Troskovi amortizacije,172
18. Ostali rashodi,131
19. Ostali prihodi,371
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),62
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),62
