POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"10,512"
2. Rashodi od kamata i slicni rashodi,"3,903"
3. NETO PRIHODI OD KAMATA (1- 2),"6,609"
4. Prihodi od dividendi,22
5. Troskovi obezvrjedjenja,"1,494"
6. Troskovi rezervisanja,-391
7. Prihodi od naknada i provizija,"5,230"
8. Rahodi naknada i provizija,"1,973"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"3,257"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,130
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,305
15. Troskovi zaposlenih,"3,130"
16. Opsti i administrativni troskovi,"3,744"
17. Troskovi amortizacije,567
18. Ostali rashodi,246
19. Ostali prihodi,265
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"1,799"
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),"1,799"
