Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"2,879"
2. Krediti i potrazivanja od banaka,396
3. Krediti i potrazivanja od klijenata,"5,158"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"3,033"
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,"3,033"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",516
13. Nematerijalna sredstva,431
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,27
17. Ostala poslovna potrazivanja,97
18. UKUPNA SREDSTVA:,"12,537"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"2,760"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,33
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,17
30. Ostale obaveze,151
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"2,961"
Kapital,IZNOS
33. Akcijski kapital,"11,980"
34. Emisione premije,
35. Nerasporedjena dobit,"-1,227"
36. Dobit/gubitak tekuce godine,"-1,177"
37. Ostale rezerve,
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"9,577"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"12,537"
