Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"5,488"
2. Krediti i potrazivanja od banaka,462
3. Krediti i potrazivanja od klijenata,"2,254"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"2,411"
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,"2,411"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",560
13. Nematerijalna sredstva,449
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,8
17. Ostala poslovna potrazivanja,54
18. UKUPNA SREDSTVA:,"11,686"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,668
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,24
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,17
30. Ostale obaveze,223
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,932
Kapital,IZNOS
33. Akcijski kapital,"11,980"
34. Emisione premije,
35. Nerasporedjena dobit,
36. Dobit/gubitak tekuce godine,"-1,227"
37. Ostale rezerve,
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"10,753"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"11,686"
