Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"61,157"
2. Krediti i potrazivanja od banaka,"15,234"
3. Krediti i potrazivanja od klijenata,"309,249"
4. Sredstva namijenjena prodaji,"1,254"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"42,523"
8.a. - raspolozive za prodaju,"34,989"
8.b. - koje se drze do dospijeca,"7,535"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","10,778"
13. Nematerijalna sredstva,367
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,474
17. Ostala poslovna potrazivanja,"1,396"
18. UKUPNA SREDSTVA:,"442,433"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"343,216"
21. Pozajmljena sredstva od banaka,129
22. Pozajmljena sredstva od ostalih klijenata,"38,746"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"2,231"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,270
30. Ostale obaveze,"2,900"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"387,492"
Kapital,IZNOS
33. Akcijski kapital,"24,731"
34. Emisione premije,
35. Nerasporedjena dobit,"17,128"
36. Dobit/gubitak tekuce godine,"6,817"
37. Ostale rezerve,"6,265"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"54,941"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"442,433"
