Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"43,459"
2. Krediti i potrazivanja od banaka,"9,334"
3. Krediti i potrazivanja od klijenata,"273,495"
4. Sredstva namijenjena prodaji,282
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"30,091"
8.a. - raspolozive za prodaju,"22,217"
8.b. - koje se drze do dospijeca,"7,874"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","11,667"
13. Nematerijalna sredstva,245
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,238
17. Ostala poslovna potrazivanja,"1,268"
18. UKUPNA SREDSTVA:,"370,080"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"291,069"
21. Pozajmljena sredstva od banaka,"10,065"
22. Pozajmljena sredstva od ostalih klijenata,"20,238"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"1,915"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,115
30. Ostale obaveze,"3,001"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"326,404"
Kapital,IZNOS
33. Akcijski kapital,"24,731"
34. Emisione premije,
35. Nerasporedjena dobit,"10,222"
36. Dobit/gubitak tekuce godine,"4,258"
37. Ostale rezerve,"4,466"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"43,676"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"370,080"
