Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"59,270"
2. Krediti i potrazivanja od banaka,"15,222"
3. Krediti i potrazivanja od klijenata,"338,593"
4. Sredstva namijenjena prodaji,"1,136"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"39,767"
8.a. - raspolozive za prodaju,"35,983"
8.b. - koje se drze do dospijeca,"3,784"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","10,268"
13. Nematerijalna sredstva,358
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,69
16. Ostala finansijska potrazivanja,321
17. Ostala poslovna potrazivanja,"1,867"
18. UKUPNA SREDSTVA:,"466,872"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"328,799"
21. Pozajmljena sredstva od banaka,"27,086"
22. Pozajmljena sredstva od ostalih klijenata,"48,069"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"3,755"
28. Tekuce poreske obaveze,35
29. Odlozene poreske obaveze,216
30. Ostale obaveze,"2,381"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"410,341"
Kapital,IZNOS
33. Akcijski kapital,"24,731"
34. Emisione premije,
35. Nerasporedjena dobit,"20,349"
36. Dobit/gubitak tekuce godine,"3,626"
37. Ostale rezerve,"7,826"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"56,531"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"466,872"
