Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"40,189"
2. Krediti i potrazivanja od banaka,"18,484"
3. Krediti i potrazivanja od klijenata,"161,599"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"3,191"
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,"3,191"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,312"
13. Nematerijalna sredstva,205
14. Tekuca poreska sredstva,15
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,"1,661"
17. Ostala poslovna potrazivanja,"11,964"
18. UKUPNA SREDSTVA:,"238,620"
Obaveze,IZNOS
19. Depoziti banaka,0
20. Depoziti klijenata,"127,128"
21. Pozajmljena sredstva od banaka,"51,071"
22. Pozajmljena sredstva od ostalih klijenata,"14,110"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"10,172"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"3,566"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"206,047"
Kapital,IZNOS
33. Akcijski kapital,"117,000"
34. Emisione premije,
35. Nerasporedjena dobit,"-82,349"
36. Dobit/gubitak tekuce godine,"-12,778"
37. Ostale rezerve,"10,700"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"32,573"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"238,620"
