Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"56,187"
2. Krediti i potrazivanja od banaka,"5,294"
3. Krediti i potrazivanja od klijenata,"198,586"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,659
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,659
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,658"
13. Nematerijalna sredstva,130
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,978
17. Ostala poslovna potrazivanja,403
18. UKUPNA SREDSTVA:,"263,894"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"201,479"
21. Pozajmljena sredstva od banaka,"19,081"
22. Pozajmljena sredstva od ostalih klijenata,"8,248"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"1,431"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"5,762"
31. Subordinisani dug,"5,564"
32. UKUPNE OBAVEZE:,"241,564"
Kapital,IZNOS
33. Akcijski kapital,"125,100"
34. Emisione premije,
35. Nerasporedjena dobit,"-106,904"
36. Dobit/gubitak tekuce godine,"1,472"
37. Ostale rezerve,"2,662"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"22,330"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"263,894"
