Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"27,027"
2. Krediti i potrazivanja od banaka,"8,544"
3. Krediti i potrazivanja od klijenata,"204,039"
4. Sredstva namijenjena prodaji,"11,231"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"2,152"
8.a. - raspolozive za prodaju,87
8.b. - koje se drze do dospijeca,"2,066"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,713"
13. Nematerijalna sredstva,231
14. Tekuca poreska sredstva,129
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,613
17. Ostala poslovna potrazivanja,712
18. UKUPNA SREDSTVA:,"256,391"
Obaveze,IZNOS
19. Depoziti banaka,0
20. Depoziti klijenata,"107,271"
21. Pozajmljena sredstva od banaka,"86,524"
22. Pozajmljena sredstva od ostalih klijenata,"5,036"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,85
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"5,159"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"204,075"
Kapital,IZNOS
33. Akcijski kapital,"117,000"
34. Emisione premije,
35. Nerasporedjena dobit,"-77,046"
36. Dobit/gubitak tekuce godine,"1,662"
37. Ostale rezerve,"10,700"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"52,316"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"256,391"
