Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"56,593"
2. Krediti i potrazivanja od banaka,"32,313"
3. Krediti i potrazivanja od klijenata,"231,451"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"48,047"
8.a. - raspolozive za prodaju,"40,130"
8.b. - koje se drze do dospijeca,"7,917"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,134
"12. Nekretnine, postrojenja i oprema","3,591"
13. Nematerijalna sredstva,"2,051"
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,417
17. Ostala poslovna potrazivanja,"2,286"
18. UKUPNA SREDSTVA:,"376,884"
Obaveze,IZNOS
19. Depoziti banaka,162
20. Depoziti klijenata,"273,906"
21. Pozajmljena sredstva od banaka,"23,586"
22. Pozajmljena sredstva od ostalih klijenata,"13,157"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,"15,025"
27. Rezerve,"1,780"
28. Tekuce poreske obaveze,621
29. Odlozene poreske obaveze,244
30. Ostale obaveze,"2,606"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"331,087"
Kapital,IZNOS
33. Akcijski kapital,"5,339"
34. Emisione premije,"1,571"
35. Nerasporedjena dobit,"29,474"
36. Dobit/gubitak tekuce godine,"5,968"
37. Ostale rezerve,"3,444"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"45,796"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"376,884"
