Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"28,853"
2. Krediti i potrazivanja od banaka,"6,751"
3. Krediti i potrazivanja od klijenata,"168,655"
4. Sredstva namijenjena prodaji,"12,061"
5. Finansijska sredstva koja se drze za trgovanje,294
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"8,827"
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,"8,827"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,"3,252"
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,858"
13. Nematerijalna sredstva,30
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,176
16. Ostala finansijska potrazivanja,524
17. Ostala poslovna potrazivanja,"25,638"
18. UKUPNA SREDSTVA:,"256,919"
Obaveze,IZNOS
19. Depoziti banaka,"1,505"
20. Depoziti klijenata,"210,929"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"1,776"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,203
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"3,152"
31. Subordinisani dug,"9,062"
32. UKUPNE OBAVEZE:,"226,628"
Kapital,IZNOS
33. Akcijski kapital,"55,428"
34. Emisione premije,
35. Nerasporedjena dobit,"-33,759"
36. Dobit/gubitak tekuce godine,-697
37. Ostale rezerve,"9,319"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"30,291"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"256,919"
