Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"3,005"
2. Krediti i potrazivanja od banaka,"1,300"
3. Krediti i potrazivanja od klijenata,"24,090"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"2,110"
8.a. - raspolozive za prodaju,"2,110"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,"7,340"
10. Investicije u zavisna preduzeca,"2,000"
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,362"
13. Nematerijalna sredstva,186
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,"2,430"
17. Ostala poslovna potrazivanja,"2,621"
18. UKUPNA SREDSTVA:,"46,444"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"23,137"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"6,005"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,3
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,7
30. Ostale obaveze,"2,453"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"31,605"
Kapital,IZNOS
33. Akcijski kapital,"13,844"
34. Emisione premije,2
35. Nerasporedjena dobit,
36. Dobit/gubitak tekuce godine,-310
37. Ostale rezerve,"1,303"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"14,839"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"46,444"
