Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"4,029"
2. Krediti i potrazivanja od banaka,"1,689"
3. Krediti i potrazivanja od klijenata,"30,856"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"1,352"
8.a. - raspolozive za prodaju,"1,152"
8.b. - koje se drze do dospijeca,200
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,"1,261"
10. Investicije u zavisna preduzeca,"2,000"
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,303"
13. Nematerijalna sredstva,205
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,"2,415"
17. Ostala poslovna potrazivanja,"1,453"
18. UKUPNA SREDSTVA:,"46,562"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"23,082"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"6,743"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,0
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,7
30. Ostale obaveze,"1,553"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"31,386"
Kapital,IZNOS
33. Akcijski kapital,"13,844"
34. Emisione premije,2
35. Nerasporedjena dobit,
36. Dobit/gubitak tekuce godine,40
37. Ostale rezerve,"1,290"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"15,176"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"46,562"
