POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"9,162"
2. Prihodi od kamata na obezvrijedene plasmane,
3. Rashodi od kamata i slicni rashodi,"3,007"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"6,156"
4. Prihodi od naknada i provizija,"1,997"
5. Rashodi naknada i provizija,"1,307"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),690
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,0
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",64
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,69
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,0
12. Ostali prihodi,75
13. Troskovi zaposlenih,"2,488"
14. Troskovi amortizacije,439
15. Opsti i administrativni troskovi,"1,790"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,552
18. Troskovi rezervisanja,
19. Ostali rashodi,24
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"1,761"
21. Porez na dobit,-7
22. NETO PROFIT/GUBITAK (III - 21),"1,767"
